school_code,county,pub_priv,district,city,school_name,enrollment,utd_num,utd_per,cond_num,cond_per,pme_num,pme_per,pbe_num,pbe_per,p,q,r,s,t,u,v,w,x,y,z,aa,ab,ac,ad,ae,af,herd,field34,field35,field36,field37,field38,field39,field40,field41,field42,field43,CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate,school_code
6090039,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,FRANKLIN ELEMENTARY,72,71,99,0,0,0,0,1,1,1,1,0,0,0,0,71,99,71,99,71,99,71,99,71,99,Y,Yes,,,,,,,,,,,01611196090039,0601770,04337,Active,Alameda,Alameda Unified,Franklin Elementary,1433 San Antonio Avenue,1433 San Antonio Ave.,Alameda,94501-4039,CA,1433 San Antonio Avenue,1433 San Antonio Ave.,Alameda,94501-4039,CA,(510) 748-4004,,,9/5/1995,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.769036,-122.26160,Jo,Fetterly,jfetterly@alameda.k12.ca.us,,,,,,,6/18/2015,6090039
6090047,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,HENRY HAIGHT ELEMENTARY,69,68,99,0,0,0,0,1,1,1,1,0,0,0,0,68,99,68,99,68,99,68,99,68,99,Y,Yes,,,,,,,,,,,01611196090047,0601770,00047,Active,Alameda,Alameda Unified,Henry Haight Elementary,2025 Santa Clara Avenue,2025 Santa Clara Ave.,Alameda,94501-2720,CA,2025 Santa Clara Avenue,2025 Santa Clara Ave.,Alameda,94501-2720,CA,(510) 748-4005,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.769332,-122.25106,Tracey,Lewis,tllewis@alameda.k12.ca.us,,,,,,,6/18/2015,6090047
0126656,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,MAYA LIN,64,57,89,0,0,0,0,7,11,7,11,0,0,0,0,57,89,57,89,57,89,57,89,57,89,Y,Yes,,,,,,,,,,,01611190126656,0601770,13107,Active,Alameda,Alameda Unified,Maya Lin,825 Taylor Street,825 Taylor St.,Alameda,94501-3411,CA,825 Taylor Street,825 Taylor St.,Alameda,94501-3411,CA,(510) 337-7027,,www.alameda.k12.ca.us/,7/1/2012,,N,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,ELEM,Elementary,K-8,K-5,N,37.772724,-122.27189,Judith,Goodwin,jgoodwin@alameda.k12.ca.us,,,,,,,6/18/2015,0126656
0119222,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,NEA COMMUNITY LEARNING CENTER,48,45,94,1,2,1,2,1,2,1,2,0,0,0,0,46,96,46,96,46,96,45,94,46,96,Y,Yes,,,,,,,,,,,01611190119222,0601770,12399,Active,Alameda,Alameda Unified,Nea Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,(510) 748-4008,130,http://neaclc.org,8/31/2009,,Y,1066,Directly funded,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,37.779051,-122.28703,Patti,Wilczek,patti.wilczek@clcschools.org,Annalisa,Moore,annalisa.moore@neaclc.org,,,,9/11/2015,0119222
0111765,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,RUBY BRIDGES ELEMENTARY,83,82,99,1,1,0,0,0,0,0,0,0,0,0,0,82,99,82,99,82,99,82,99,82,99,Y,No,,,,,,,,,,,01611190111765,0601770,11549,Active,Alameda,Alameda Unified,Ruby Bridges Elementary,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,(510) 748-4006,,www.alameda.k12.ca.us,8/28/2006,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.781834,-122.28614,Cheryl,Wilson,cwilson@alameda.k12.ca.us,,,,,,,6/18/2015,0111765
6090120,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,WILLIAM G. PADEN ELEMENTARY,66,66,100,0,0,0,0,0,0,0,0,0,0,0,0,66,100,66,100,66,100,66,100,66,100,Y,No,,,,,,,,,,,01611196090120,0601770,00003,Active,Alameda,Alameda Unified,William G. Paden Elementary,444 Central Avenue,444 Central Ave.,Alameda,94501-3615,CA,444 Central Avenue,444 Central Ave.,Alameda,94501-3615,CA,(510) 748-4014,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.771566,-122.28446,Katherine,Barr,kbarr@alameda.k12.ca.us,,,,,,,6/18/2015,6090120
6090146,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,CORNELL ELEMENTARY,84,83,99,0,0,0,0,1,1,1,1,0,0,0,0,83,99,83,99,83,99,83,99,83,99,Y,Yes,,,,,,,,,,,01611276090146,0601860,00061,Active,Alameda,Albany City Unified,Cornell Elementary,920 Talbot Avenue,920 Talbot Ave.,Albany,94706-2020,CA,920 Talbot Avenue,920 Talbot Ave.,Albany,94706-2020,CA,(510) 558-3700,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.889826,-122.29518,Heather,Duncan,hduncan@ausdk12.org,,,,,,,6/18/2015,6090146
6095376,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,MARIN ELEMENTARY,84,84,100,0,0,0,0,0,0,0,0,0,0,0,0,84,100,84,100,84,100,84,100,84,100,Y,No,,,,,,,,,,,01611276095376,0601860,00062,Active,Alameda,Albany City Unified,Marin Elementary,1001 Santa Fe Avenue,1001 Santa Fe Ave.,Albany,94706-2341,CA,1001 Santa Fe Avenue,1001 Santa Fe Ave.,Albany,94706-2341,CA,(510) 559-4700,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.888559,-122.28817,Alexia,Ritchie,aritchie@ausdk12.org,,,,,,,6/18/2015,6095376
6116222,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,OCEAN VIEW ELEMENTARY,145,132,91,10,7,0,0,3,2,3,2,0,0,0,0,133,92,136,94,137,94,141,97,142,98,Y,Yes,,,,,,,,,,,01611276116222,0601860,07937,Active,Alameda,Albany City Unified,Ocean View Elementary,1000 Jackson Street,1000 Jackson St.,Albany,94706-1904,CA,1000 Jackson Street,1000 Jackson St.,Albany,94706-1904,CA,(510) 558-4800,,,9/1/1999,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.887539,-122.30092,Terry,Georgeson,tgeorgeson@ausdk12.org,,,,,,,6/18/2015,6116222
6097729,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY ARTS MAGNET AT WHITTIER,84,74,88,5,6,0,0,5,6,0,0,5,6,0,0,75,89,75,89,75,89,79,94,79,94,Y,Yes,,,,,,,,,,,01611436097729,0604740,00431,Active,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,1645 Milvia Street,1645 Milvia St.,Berkeley,94709-2073,CA,1645 Milvia Street,1645 Milvia St.,Berkeley,94709-2073,CA,(510) 644-6225,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.876919,-122.27123,Rene,Molina,renemolina@berkeley.net,,,,,,,6/18/2015,6097729
6090195,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,CRAGMONT ELEMENTARY,58,53,91,5,9,0,0,0,0,0,0,0,0,0,0,55,95,55,95,56,97,55,95,56,97,Y,No,,,,,,,,,,,01611436090195,0604740,06895,Active,Alameda,Berkeley Unified,Cragmont Elementary,830 Regal Road,830 Regal Rd.,Berkeley,94708-1308,CA,830 Regal Road,830 Regal Rd.,Berkeley,94708-1308,CA,(510) 644-8810,,,9/1/1997,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.892673,-122.26355,Hazelle,Fortich,hazellefortich@berkeley.net,,,,,,,6/18/2015,6090195
6090211,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,EMERSON ELEMENTARY,38,34,89,4,11,0,0,0,0,0,0,0,0,0,0,36,95,35,92,35,92,35,92,37,97,Y,No,,,,,,,,,,,01611436090211,0604740,00436,Active,Alameda,Berkeley Unified,Emerson Elementary,2800 Forest Avenue,2800 Forest Ave.,Berkeley,94705-1309,CA,2800 Forest Avenue,2800 Forest Ave.,Berkeley,94705-1309,CA,(510) 644-6890,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.861490,-122.25111,Susan,Hodge,susanhodge@berkeley.net,,,,,,,6/18/2015,6090211
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON ELEMENTARY,96,88,92,4,4,0,0,4,4,3,3,1,1,0,0,88,92,90,94,88,92,91,95,92,96,Y,Yes,,,,,,,,,,,01611436090252,0604740,00441,Active,Alameda,Berkeley Unified,Jefferson Elementary,1400 Ada Street,1400 Ada St.,Berkeley,94702-1217,CA,1400 Ada Street,1400 Ada St.,Berkeley,94702-1217,CA,(510) 644-6298,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.878921,-122.28521,Sonya,Marin,sonyamartin@berkeley.net,,,,,,,6/18/2015,6090252
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEMENTARY,55,33,60,20,36,0,0,2,4,2,4,0,0,0,0,42,76,44,80,44,80,46,84,52,95,Y,Yes,,,,,,,,,,,01611436105316,0604740,08119,Active,Alameda,Berkeley Unified,John Muir Elementary,2955 Claremont Avenue,2955 Claremont Ave.,Berkeley,94705-2449,CA,2955 Claremont Avenue,2955 Claremont Ave.,Berkeley,94705-2449,CA,(510) 644-6410,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.857194,-122.24593,Audrey,Amos,audreyamos@berkeley.net,,,,,,,6/18/2015,6105316
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LECONTE ELEMENTARY,76,68,89,7,9,0,0,1,1,0,0,1,1,0,0,69,91,74,97,71,93,72,95,74,97,Y,Yes,,,,,,,,,,,01611436090278,0604740,00445,Active,Alameda,Berkeley Unified,Leconte Elementary,2241 Russell Street,2241 Russell St.,Berkeley,94705-1029,CA,2241 Russell Street,2241 Russell St.,Berkeley,94705-1029,CA,(510) 644-6290,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.857352,-122.26231,Veronica,Valerio,veronicavalerio@berkeley.net,,,,,,,6/18/2015,6090278
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X ELEMENTARY,119,96,81,19,16,0,0,4,3,3,3,1,1,0,0,100,84,102,86,105,88,104,87,109,92,Y,Yes,,,,,,,,,,,01611436090286,0604740,00447,Active,Alameda,Berkeley Unified,Malcolm X Elementary,1731 Prince Street,1731 Prince St.,Berkeley,94703-2464,CA,1731 Prince Street,1731 Prince St.,Berkeley,94703-2464,CA,(510) 644-6313,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.852200,-122.27373,Alex,Hunt,alexhunt@berkeley.net,,,,,,,6/18/2015,6090286
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD ELEMENTARY,59,56,95,3,5,0,0,0,0,0,0,0,0,0,0,56,95,57,97,58,98,57,97,58,98,Y,No,,,,,,,,,,,01611436090302,0604740,00448,Active,Alameda,Berkeley Unified,Oxford Elementary,1130 Oxford Street,1130 Oxford St.,Berkeley,94707-2624,CA,1130 Oxford Street,1130 Oxford St.,Berkeley,94707-2624,CA,(510) 644-6300,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.887796,-122.26827,Beth,Rhine,bethrhine@berkeley.net,,,,,,,6/18/2015,6090302
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,95,90,95,0,0,0,0,4,4,4,4,0,0,1,1,90,95,90,95,90,95,90,95,90,95,Y,Yes,,,,,,,,,,,01611436090187,0604740,06865,Active,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,920 Allston Way,920 Allston Way,Berkeley,94710-2389,CA,920 Allston Way,920 Allston Way,Berkeley,94710-2389,CA,(510) 644-8812,,,9/1/1997,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.865652,-122.29471,Paco,Furlan,pacofurlan@berkeley.net,,,,,,,6/18/2015,6090187
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS ELEMENTARY,70,59,84,5,7,3,4,3,4,2,3,1,1,0,0,59,84,61,87,59,84,61,87,61,87,Y,Yes,,,,,,,,,,,01611436090310,0604740,00450,Active,Alameda,Berkeley Unified,Thousand Oaks Elementary,840 Colusa Avenue,840 Colusa Ave.,Berkeley,94707-1858,CA,840 Colusa Avenue,840 Colusa Ave.,Berkeley,94707-1858,CA,(510) 644-6368,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.893082,-122.28040,Jennifer,Corn,jennifercorn@berkeley.net,,,,,,,6/18/2015,6090310
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEMENTARY,91,61,67,27,30,3,3,0,0,0,0,0,0,0,0,71,78,68,75,73,80,78,86,83,91,Y,No,,,,,,,,,,,01611436090328,0604740,00452,Active,Alameda,Berkeley Unified,Washington Elementary,2300 Martin Luther King Junior Way,2300 Martin Luther King Jr. Way,Berkeley,94704-1412,CA,2300 Martin Luther King Junior Way,2300 Martin Luther King Jr. Way,Berkeley,94704-1412,CA,(510) 644-6310,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.866959,-122.27257,Katia,Hazen,katiahazen@berkeley.net,,,,,,,8/12/2015,6090328
0131763,ALAMEDA,PUBLIC,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT -STATE SPECIAL SCHL-,FREMONT,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT,12,12,100,0,0,0,0,0,0,0,0,0,0,0,0,12,100,12,100,12,100,12,100,12,100,Y,No,,,,,,,,,,,01316170131763,0600003,10347,Active,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,(510) 794-3666,,www.csdeagles.com,7/1/1980,,N,,,31,State Special Schools,31,State Special Schools,SSS,State Special School,ELEMHIGH,Elementary-High Combination,P-12,K-12,N,37.558956,-121.96551,Laura,Peterson,lpeterson@csdf-cde.ca.gov,,,,,,,5/10/2016,0131763
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEMENTARY,99,95,96,0,0,0,0,0,0,0,0,0,0,4,4,95,96,95,96,95,96,95,96,95,96,Y,No,,,,,,,,,,,01611506090351,0607800,00741,Active,Alameda,Castro Valley Unified,Castro Valley Elementary,20185 San Miguel Avenue,20185 San Miguel Ave.,Castro Valley,94546-0146,CA,PO Box 2146,PO Box 2146,Castro Valley,94546-0146,CA,(510) 537-1919,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.698047,-122.08102,Denise,Hohn,dhohn@cv.k12.ca.us,,,,,,,6/18/2015,6090351
6090369,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CHABOT ELEMENTARY,76,74,97,0,0,0,0,0,0,0,0,0,0,2,3,74,97,74,97,74,97,74,97,74,97,Y,No,,,,,,,,,,,01611506090369,0607800,07661,Active,Alameda,Castro Valley Unified,Chabot Elementary,19104 Lake Chabot Road,19104 Lake Chabot Rd.,Castro Valley,94546-2936,CA,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-2342,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.707084,-122.09012,Vivienne,Paratore,vparatore@cv.k12.ca.us,,,,,,,6/18/2015,6090369
6090393,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,INDEPENDENT ELEMENTARY,120,114,95,0,0,0,0,1,1,1,1,0,0,5,4,114,95,114,95,114,95,114,95,114,95,Y,Yes,,,,,,,,,,,01611506090393,0607800,09342,Active,Alameda,Castro Valley Unified,Independent Elementary,21201 Independent School Road,21201 Independent School Rd.,Castro Valley,94552-4826,CA,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-9558,,,7/1/1980,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.699109,-122.04975,Jim,Kentris,jkentris@cv.k12.ca.us,,,,,,,6/18/2015,6090393
6113005,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,JENSEN RANCH ELEMENTARY,59,52,88,0,0,0,0,0,0,0,0,0,0,7,12,52,88,52,88,52,88,52,88,52,88,Y,No,,,,,,,,,,,01611506113005,0607800,04339,Active,Alameda,Castro Valley Unified,Jensen Ranch Elementary,20001 Carson Lane,20001 Carson Ln.,Castro Valley,94552-1001,CA,PO Box 2146,PO Box 2146,Castro Valley,94546,CA,(510) 537-6365,,,9/1/1995,,N,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,37.713125,-122.03122,Dustin,Gacherieu,dgacherieu@cv.k12.ca.us,,,,,,,6/18/2015,6113005
